fen,phase,eco
2r5/4pk2/3p4/5q1n/8/8/1Pp1Q3/1K3R2 w - - 0 33,middlegame,
r1bqkbnr/pp1npppp/2p5/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq - 1 5,opening,D11
r4rk1/2pp3p/p3p1p1/1p1q2B1/5PP1/1P6/P1P1Qb1P/6K1 w - - 0 28,middlegame,
8/8/2pn1kp1/8/R7/P1P2P2/1P3P1K/8 w - - 1 45,middlegame,
r1bqkbnr/pp2pppp/2np4/2p5/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq - 2 4,opening,B20
6k1/3q4/p2Pp1pp/1Pp5/3bN3/6P1/PP1Q1PNP/6K1 b - - 0 31,middlegame,
1r4k1/5nbp/3p2p1/8/8/4P3/1p3PPP/1R3qK1 w - - 0 32,middlegame,
4r1k1/5ppp/2p5/2n5/2pR4/2q2BP1/5PKP/8 w - - 0 25,middlegame,
2r5/5R1p/p6k/P2NB1p1/1p2P2P/4NP2/1r4PK/8 w - - 0 37,middlegame,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/1P2P3/P2P1PPP/RNBQKBNR w KQkq - 1 4,opening,A00
5r2/1b2nk2/p1p5/Pp2P1Q1/1P2B3/5P1P/6P1/2R3K1 w - - 1 44,middlegame,
8/4k1p1/3rPp1p/3r1P2/pR1P2P1/3RK3/PP4P1/8 b - - 0 43,middlegame,
8/3k3p/6p1/6P1/P2K4/1P6/2Pp3P/8 w - - 0 46,endgame,
r1b2r1k/pp1nq3/2p1N2Q/4P3/8/8/PPP2PPP/3R1RK1 b - - 0 19,middlegame,
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,opening,C20
5rk1/3N1ppp/2Q1p3/q2n4/3P4/4P3/1P1N1PPP/5RK1 b - - 2 22,middlegame,
rnb1r1n1/ppp2k1p/3p2p1/5p2/2q5/2N2P2/PP1B2BP/2RQ1R1K b - - 1 16,middlegame,
r1bqkb1r/pp1ppppp/2n2n2/2p5/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 1 4,opening,A03
rnbq1rk1/ppppppbp/5np1/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQ - 1 5,opening,A48
8/1Q4pp/2pk4/p7/8/5BN1/RPP5/5K1R b - - 0 29,middlegame,
rnbqkbnr/pp3ppp/4p3/2pp4/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 4,opening,B20
4r3/5pk1/p2q4/1pp1nbp1/P7/5BK1/1P2R3/4R2Q w - - 0 37,middlegame,
N1bq3r/5ppp/p1pk1n2/2Pp4/8/4P3/PPP2PPP/R2QKB1R b KQ - 0 12,middlegame,
rnbqkbnr/pp2pppp/2pp4/8/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,opening,A10
5R2/5ppk/p2np3/3p2PP/8/P1r5/7K/8 w - - 2 41,middlegame,
5k2/p2n2b1/1p2B3/4P3/3P4/1PP5/P6P/6K1 w - - 1 32,middlegame,
8/6k1/3p3p/2p2B2/6Kn/3r3P/8/8 w - - 0 40,middlegame,
rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,opening,A40
8/8/8/8/5k2/Kp6/5q2/7q w - - 0 62,middlegame,
1kbr3r/p2q2p1/1ppb4/3N2P1/3B3P/5Q2/PPP1N1B1/2KR3R w - - 0 27,middlegame,
r2qkbnr/ppp1pppp/2n5/3p1b2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,opening,D00
1r2R1k1/p4qnp/2b3p1/P1PN1p2/1P3P2/3Q2P1/1R4BP/6K1 b - - 0 44,middlegame,
rnbqk2r/ppp1bppp/4pn2/8/2pPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,opening,D44
6k1/5p2/4b1pp/4P3/1p3K1P/8/P6r/8 w - - 0 36,middlegame,
5k2/1p1bp2p/p3p1p1/3P4/4N3/4Q3/1q4PP/7K w - - 0 28,middlegame,
2rq1rk1/pbp2p1p/1p1p1np1/4p3/4P3/1Q1PNNP1/Pn3PBP/4R1K1 w - - 0 17,middlegame,
rnbqk1nr/pp3ppp/2pb4/3p4/3P4/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 6,opening,C01
rnb3k1/pp5p/2p1pNp1/3p4/4q1Pb/2P4P/PPQ5/2KR1R2 b - - 1 20,middlegame,
1k2r3/1pp1r2p/3n2p1/p3pp2/1QP5/5P2/6PP/3R1RK1 w - - 0 27,middlegame,
r1bqkbnr/ppp2pp1/2np3p/4p3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,opening,A04
8/8/B7/4k3/6P1/7P/b4P2/6K1 w - - 0 42,endgame,
1k4rr/1p2q3/p1nbb3/4pP2/7p/P1NBBPnP/1PP1NQPK/3R1R2 b - - 0 19,middlegame,
3k1r2/ppq5/2pb1BQP/3P4/8/8/PP3PP1/R5K1 b - - 2 31,middlegame,
3r1k1r/p2P1p2/Bp1R1p2/4pN2/4Pn1P/2P2N2/P1K4P/3R4 b - - 2 27,middlegame,
3q3k/5Q2/5P1p/p4p2/Pp3P2/1B5P/1P4PK/8 b - - 0 45,middlegame,
2k5/ppp5/6p1/8/2K3p1/P5P1/1P5P/8 w - - 0 29,endgame,
8/p1R5/2p1K2p/r6k/1b6/6P1/8/8 w - - 2 46,middlegame,
8/5pk1/6p1/7p/1K5P/8/8/8 b - - 0 56,endgame,
rnbqkb1r/1pp2ppp/p3pn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq - 0 5,opening,D00
2r1kn2/1pp1q1r1/p2p4/4P3/1PP1PQ2/1P3N1P/5P2/R4K1R b - - 0 26,middlegame,
r1b2rk1/p3Rp1p/2pB2p1/8/8/2b5/PnP3PP/5RK1 b - - 1 17,middlegame,
r1bqkb1r/pp1ppp1p/2n2np1/4P3/3Q4/5N2/PPP2PPP/RNB1KB1R w KQkq - 1 6,opening,A42
8/1b4kp/pP2B3/P2p4/3P4/6P1/3R1r1P/R5K1 b - - 0 37,middlegame,
r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3P1N2/PPP1BPPP/RNBQK2R w KQkq - 0 5,opening,C44
1n1r2nB/1p1k1p1p/8/2b5/8/P4N2/3PKPPP/RN5R b - - 0 16,middlegame,
rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq - 0 5,opening,D32
rnbqk2r/pppp1ppp/5n2/2b1p3/2B1P3/3P4/PPP2PPP/RNBQK1NR w KQkq - 1 4,opening,C24
7r/8/8/5k2/3RR3/2P4p/PPK5/8 w - - 1 41,middlegame,
rnbqkb1r/ppp3pp/4pn2/3p1p2/8/1P2PN2/PBPP1PPP/RN1QKB1R w KQkq - 0 5,opening,A01
rnbqk2r/pppp1ppp/5n2/2bPp3/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 1 4,opening,A51
r7/8/R4p1k/4R2P/8/2P4K/P7/8 w - - 1 55,middlegame,
r2r2k1/1b3ppp/p3p3/1p1q4/8/3BQ2P/5PP1/R3R1K1 w - - 2 22,middlegame,
8/4q2k/p3p2p/3pPp2/5P1p/1p3P1Q/P7/2K5 w - - 0 29,middlegame,
4k3/1p5p/4P3/4K3/Pp1p4/1P5P/8/8 w - - 0 40,endgame,
3q1r1k/pp4bP/3pp3/2r2P2/2Bp2Q1/3P3P/PPP3P1/R1B3K1 b - - 0 20,middlegame,
8/2q3pk/1rP1R1Qp/p3P3/8/5P1P/P5P1/6K1 b - - 0 39,middlegame,
4rrk1/1b4b1/p5p1/1p2p1Bp/2P4P/4qp2/P5PK/1BRR4 w - - 0 26,middlegame,
2R2rk1/p5pp/5b2/8/8/3nN3/PP3PPP/R1B3K1 w - - 1 26,middlegame,
r1b1r3/1p1p2k1/p1nBp3/2p1P1R1/2P2q2/P1PP1N2/5PP1/1R1QKB2 b - - 0 19,middlegame,
5k2/r1N2p2/4p1p1/3p2n1/2p5/4P3/1PK5/R7 w - - 0 43,middlegame,
8/5pp1/5k1p/8/6P1/8/7P/2K5 b - - 0 42,endgame,
7r/pp6/1R2B3/1kp5/1n2PQpp/3P4/PP2N2P/2KR4 b - - 0 27,middlegame,
r2r2k1/1p4pp/2b1Qpq1/2N5/3P4/2N2P2/PP4PP/R4RK1 b - - 0 24,middlegame,
rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/8/PPPPQ1PP/RNB1KBNR w KQkq - 2 5,opening,C31
r3r2k/p2b3p/1n3Rp1/8/1Q6/2P2N2/P1P2PPP/2KR4 w - - 1 23,middlegame,
rnbqkb1r/1pp2ppp/p3pn2/3p4/3P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 0 5,opening,D01
1k6/8/p7/2p3R1/8/1P3K2/r7/8 b - - 0 43,endgame,
8/p5pp/4k3/1pPB4/1P6/P3K1P1/7P/8 b - - 0 39,endgame,
4rrk1/2Pq1p1p/Q2p2p1/3N3n/4P3/4RP2/PP3P1P/2R4K b - - 0 27,middlegame,
rnbqkb1r/pp3ppp/4pn2/3p4/2pP1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq - 0 6,opening,D02
6k1/p2n1ppp/1p2p1b1/3p4/3P1B2/P3NP2/5rPP/6K1 w - - 0 26,middlegame,
5rk1/4r2p/p7/2pb1p2/1p1b4/1P4P1/P3RPP1/1K6 w - - 0 31,middlegame,
r1b1r1k1/p3PBbp/2p3p1/8/3qNP2/8/PPP3PP/R1BQ3K b - - 0 16,middlegame,
4q2k/6b1/p7/P1Q1n1Np/8/2N3P1/1P2PP2/6K1 b - - 0 33,middlegame,
8/3k2R1/3p2p1/8/4b1P1/1pb4P/2p5/2K5 b - - 1 46,middlegame,
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,D11
8/p4p2/4pKp1/8/2k2P2/6r1/8/6B1 w - - 1 46,endgame,
r1b2N2/1p1n4/1qpQ1kp1/p7/2B5/2N5/PPP2PP1/2KR3R b - - 0 19,middlegame,
rnbqkb1r/pppp2pp/5n2/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,opening,C40
3r1rk1/ppp3pp/8/1N2pp2/8/1P3qP1/P5RP/R6K b - - 1 24,middlegame,
2b1k3/2r5/pp2p1R1/3pPp2/2pN1P2/2P1P3/PP2B1PP/6K1 b - - 0 39,middlegame,
2r5/5k2/6R1/2B3KP/1P6/8/8/8 b - - 2 61,middlegame,
rnbqkb1r/ppp1pppp/5n2/3p4/4P3/3B4/PPPP1PPP/RNBQK1NR w KQkq - 0 3,opening,B02
5bk1/R4N1p/4p1p1/2prP3/8/1P1P3P/2P2PP1/6K1 b - - 0 29,middlegame,
r2qkbnr/pp2pppp/2n5/2ppP3/3P2b1/4BN2/PPP2PPP/RN1QKB1R w KQkq - 4 6,opening,B12
4rk2/2R3b1/p1n2p1p/4pPp1/8/6P1/5P1P/r1B3K1 w - - 0 30,middlegame,
rnb1kbnr/pp1p1pp1/2p2q1p/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,opening,C40
6nr/pbk2ppp/1p2p3/8/1P2r3/4bN2/P5PP/R3KB1R w KQ - 0 18,middlegame,
8/pp4kp/8/5p2/7P/3r3K/PP3r2/8 w - - 2 36,middlegame,
6k1/8/6pp/2b5/3pP3/1P1PQ1P1/7P/5BK1 b - - 0 34,middlegame,
5r2/2R2Rp1/p4pkp/1qP1pN2/1p2P3/1P2B1PP/P4P2/6K1 b - - 0 32,middlegame,
8/8/8/8/1P6/P3k3/1KR1B3/4r3 b - - 0 57,middlegame,
4kbnr/2pp1pp1/1p2p3/p3P3/2Pn4/1PN1BP1p/P4KbP/R5N1 b k - 1 18,middlegame,
8/1p6/p5k1/2NP4/8/1P4P1/1r6/4K3 w - - 0 33,endgame,
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/1Q3N2/PP2PPPP/RN2KB1R w KQ - 6 6,opening,D30
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/4PNP1/PPP2PBP/RNBQK2R w KQkq - 1 6,opening,A45
5nk1/5b1p/p3p1p1/1p2Pp2/8/1B2Q2P/Pq6/4R1K1 b - - 1 38,middlegame,
4r1k1/5pp1/p2Rb2p/4n2P/4p3/6K1/P5P1/R7 b - - 1 29,middlegame,
2r1rn1k/p4Q2/1p2pb2/2p3B1/3p2p1/3P4/1PP3K1/R4R2 w - - 0 35,middlegame,
2r3k1/6pp/p3p3/3b1p2/3P1P2/2p1Q2P/q5PK/2R5 b - - 1 31,middlegame,
r5rk/ppbb3p/2p1p2P/2Pp4/3PpP1n/4P3/PP4K1/R1B5 w - - 0 29,middlegame,
2k3r1/2p1R3/1p4p1/pPp5/8/r5KP/8/5R2 w - - 2 36,middlegame,
8/8/8/2p5/1pP1K3/1P6/6r1/5k2 b - - 1 63,endgame,
4r1k1/p5b1/3Q4/2pP4/2P1rP2/7P/P5P1/5RK1 b - - 0 30,middlegame,
r4rk1/ppp2ppp/3b4/3p4/Qn1P4/P4PP1/1P2P3/R1BK1q2 w - - 0 21,middlegame,
3q1r2/6k1/3p2p1/pbp1p3/2r1PpQ1/8/P4PPR/2KR4 w - - 2 27,middlegame,
8/p5k1/8/2pP4/2P2PP1/7K/P4b2/8 w - - 0 40,endgame,
rnbqkbnr/ppp2ppp/3p4/4p1N1/8/8/PPPPPPPP/RNBQKB1R w KQkq - 0 3,opening,A04
8/7p/1p4k1/8/5QPK/2P5/PP3P1P/6r1 b - - 0 38,middlegame,
rnb2rk1/pp1p1pbp/3Pp1p1/8/2B5/4B3/P4PPP/qN1QK2R b K - 1 14,middlegame,
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2P2N2/PP1PQPPP/RNB1K2R w KQkq - 0 6,opening,C55
rnbqk2r/ppp1ppbp/3p1np1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 2 5,opening,A10
r1bqkbnr/pp3ppp/2n5/4p3/8/7P/PPPP1PP1/RNBQKBNR w KQkq - 0 5,opening,B01
4k2r/pp3pb1/8/4p3/3p4/1N3qP1/P4R1P/6K1 w k - 0 27,middlegame,
8/r7/4R3/5p1p/7P/6k1/8/3K4 w - - 0 55,endgame,
rnb1k1nr/pp1qbppp/2p5/8/3B4/2P2N2/P2N1PPP/1R2R1K1 w kq - 2 14,middlegame,
r4rk1/pppqb3/3pb1Pp/8/3p2BN/1P1P2P1/P1PNQP1P/R4K1R w - - 1 17,middlegame,
rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/4B3/PPP2PPP/RN1QKBNR w KQkq - 0 4,opening,B06
2kr3n/pp2q3/2p1p3/3rPnNQ/3P4/2P3P1/PP3P1P/2KR3R b - - 0 25,middlegame,
2kN4/ppp5/8/8/4n3/4P1P1/PPPB2K1/3R4 b - - 0 29,middlegame,
6R1/8/3n2p1/1p1k4/5r2/3K4/8/8 w - - 0 45,middlegame,
8/p4k1p/6p1/3N4/4p1P1/3b2KP/P7/8 w - - 1 37,endgame,
rnbqkb1r/p1pp1pp1/1p2pn1p/8/3P3B/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 5,opening,A46
1r1qr1k1/pB3ppp/3bbn2/8/8/2NPBP2/PPP1Q1PP/R3K2R w KQ - 1 17,middlegame,
8/6k1/5p2/4r1p1/3Kq3/8/8/8 w - - 2 63,middlegame,
rnbqkb1r/ppp1nppp/3pp3/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,opening,A04
2r2rk1/1p3ppp/p3p3/4P3/2P1N3/4b2P/P4pP1/2R2K2 w - - 2 28,middlegame,
4R3/2b2Npk/2p3r1/p1P5/6Pq/3Q1P2/PP1B2K1/8 b - - 0 33,middlegame,
r1bqkbnr/ppp2ppp/2n5/1B6/3pp3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,C44
r2qkb1r/ppp1pppp/2n4n/3pP3/3P1Pb1/8/PPP3PP/RNBQKBNR w KQkq - 1 5,opening,B00
r1bqk2r/pppp1ppp/2n2n2/2b5/2B1Pp2/2NP4/PPP3PP/R1BQK1NR w KQkq - 0 6,opening,C26
8/pp6/2p3k1/5pP1/1P2pB2/2rr4/8/5R1K b - - 1 45,middlegame,
8/8/4bk2/1B6/8/1Pb2pP1/5P2/6K1 w - - 1 43,endgame,
2k5/p7/1p5p/2p2N2/6P1/1P5n/P7/1K6 b - - 1 37,endgame,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/1P6/PB1PPPPP/RN1QKBNR w KQkq - 3 4,opening,A20
r4rk1/pp3ppp/4p3/6B1/3qP3/P4NbP/4NnP1/R4K2 w - - 0 23,middlegame,
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N3P1/PP2PP1P/R1BQKBNR w KQkq - 0 5,opening,D10
8/8/8/6R1/2Pk4/5PP1/P2K4/r7 b - - 0 38,middlegame,
r3kb1r/pp1b1ppp/2np4/q3p3/4Pn2/2NB3P/PB2NQP1/1R2K2R w Kkq - 0 14,middlegame,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,opening,A41
rnbqkb1r/pp1p1ppp/4pn2/8/2Pp4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,opening,A33
r1b2rk1/pp2bppp/4p3/3pP3/3n4/2P3P1/P3QPBP/qN2R1K1 w - - 0 15,middlegame,
rnbqk1nr/ppp1p1bp/6p1/4pp2/3P1P2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,B07
r3r1k1/pb2bp1p/1p2p1pB/8/5n2/5N2/PP4PP/3RR2K b - - 1 26,middlegame,
8/4Rkpp/2NP1p2/8/2n5/5N1P/5PP1/6K1 b - - 2 38,middlegame,
8/k4p2/1pb4p/p7/P5P1/7P/5P1K/8 w - - 0 54,endgame,
8/1p6/3R4/p1P2p2/1q3k1Q/7P/1P3PP1/6K1 b - - 0 45,middlegame,
rnbqk1nr/pp2bppp/2pp4/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,opening,C41
2r1r1k1/pb1p1p1p/1p4p1/2p2n2/2Pq2Q1/7R/P1P3PP/2B2RK1 w - - 2 24,middlegame,
4r1k1/p4pqp/6p1/1pp4P/8/2P5/PPQ5/1K1r2R1 w - - 0 31,middlegame,
6k1/6p1/2p1p1rp/1bPp1p2/1P6/8/2B2PPK/r7 w - - 0 36,middlegame,
rnbqkbnr/p1ppp1pp/1p6/5p2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,opening,A80
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3PP3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 0 6,opening,B30
rnbqkb1r/ppp2ppp/3ppn2/8/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq - 0 4,opening,A17
n3k2r/p2p1p1p/1p2p3/4p3/2pP4/4P1P1/P2K1P1P/7R w k - 0 19,middlegame,
rn3rk1/1bqp1ppp/p2b4/1p1p2B1/2p1n3/P1N2N1P/BPP1Q1P1/R4RK1 w - - 0 15,middlegame,
r1b1kb1r/pp1n1ppp/4p3/3pn3/3P4/1NPq4/PP4PP/R1BQ1R1K w kq - 0 13,middlegame,
r1b2k2/ppq2ppp/4p3/3n4/3b4/1P4P1/P2NQ1BP/5RK1 w - - 0 19,middlegame,
6k1/8/6BB/2p4P/8/1K6/1PP3r1/8 b - - 1 42,middlegame,
1r2r1k1/p1q2p1p/6p1/2p5/2PRP3/1PQ2BPP/P4P2/3R2K1 b - - 0 26,middlegame,
r3b1k1/1p3q1p/p1n1p1pP/5p2/5Pn1/2N3Q1/PPP1B3/1K1r3R w - - 0 24,middlegame,
7k/p6n/1b3p2/1b2pP1q/4P2P/1P1p4/P2p4/5K2 w - - 0 43,middlegame,
8/4Qk1p/1p4p1/1pq2bB1/8/8/PPP2PPP/R5K1 b - - 0 21,middlegame,
rnbqk2r/ppp2ppp/3p1n2/2b1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,opening,C42
rnbqkb1r/ppp1pppp/1n6/2p1P3/3P4/8/PP3PPP/RNBQKBNR w KQkq - 0 6,opening,B03
1r4k1/5p2/4p1p1/p3P2p/8/P2q3P/3RK3/8 w - - 0 34,middlegame,
r5k1/1b6/p3r1q1/1p4Np/5P2/bPP5/K5Q1/8 b - - 0 40,middlegame,
5rk1/ppq3pp/8/6P1/3BN2K/Pb1pP2P/2r5/R2n4 w - - 2 33,middlegame,
5r2/2pk2Q1/p7/1p2p3/1P1pBqN1/P2P3P/1BP5/R3K3 b Q - 0 37,middlegame,
rn4k1/1pq2p1p/p1p1r1b1/8/2N3P1/1P3Q1P/PBp3K1/R7 w - - 2 23,middlegame,
r1b1kbnr/pp2pppp/2n5/2pq4/8/5NP1/PPPP1P1P/RNBQKB1R w KQkq - 0 5,opening,B30
r1bqkbnr/pppn1ppp/8/4N3/4pP2/8/PPPP2PP/RNBQKB1R w KQkq - 1 5,opening,C31
8/8/1p6/pPk1p1p1/6P1/1K6/3r2p1/6R1 w - - 0 42,middlegame,
r1bqkb1r/pp3ppp/2nppn2/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 2 6,opening,A56
rnbqkb1r/ppp2p2/3p1npp/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq - 0 6,opening,C41
3kr3/pp4Qp/3q4/P7/1P1P3P/5PP1/1B4K1/8 w - - 1 31,middlegame,
r2qkbnr/pp1n1ppp/4p3/2pp4/4P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq - 0 6,opening,B40
6k1/1p3pp1/7p/1pp5/6P1/4q2P/5R2/3R2K1 w - - 0 33,middlegame,
8/3k1nN1/5p1p/p7/8/1P3P2/4K1PP/8 b - - 0 47,endgame,
1R6/P7/8/8/2p5/8/2kn2PP/6K1 b - - 0 50,endgame,
4r1k1/5p1p/p3p1p1/8/1p1Bb1n1/3K2P1/PPr3P1/7R w - - 0 27,middlegame,
3q2k1/6pp/1pQ2n2/3P3r/P7/6P1/1P3P1P/3R1RK1 b - - 0 26,middlegame,
1b6/8/7p/5k2/2BB4/3P1p1P/1P3P2/6K1 w - - 1 52,middlegame,
r1bq1rk1/ppp2ppp/2n5/6b1/8/2pB1N2/PP2QPPP/2KR3R w - - 0 13,middlegame,
4N1r1/pp2Pn1p/2pR2k1/8/7B/8/PPP2PP1/2K5 b - - 0 29,middlegame,
rnbqkbnr/ppp1p1pp/8/5p2/3Pp3/5P2/PPP3PP/RNBQKBNR w KQkq - 0 4,opening,D00
2kr3r/1p3pp1/p3p3/3p4/3Nn3/1P6/P1P1K1nP/R6R w - - 0 21,middlegame,
r2qkbnr/pp1bpp1p/2np2p1/1Bp5/P3P3/2N2N2/1PPP1PPP/R1BQK2R w KQkq - 0 6,opening,B52
8/8/8/8/8/2PK4/5Q2/3k2Q1 b - - 2 59,middlegame,
N1b2br1/4nkp1/p1n1p2p/8/2N4B/8/PPP2PPP/2KR1B1R b - - 0 19,middlegame,
5rk1/1p3ppp/2n2q2/2pp2Nn/4pP1P/1PbPP3/3r2Q1/3RK1R1 w - - 0 23,middlegame,
3B4/8/8/3p4/6Rp/3k4/PP4KP/8 b - - 0 42,endgame,
6k1/K5p1/6pp/8/6PP/1P2n3/P7/8 w - - 0 45,endgame,
rn1qk2r/pbppbppp/1p2pn2/8/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 4 6,opening,A46
5bk1/p2Q1p1p/1p1Np1p1/4P3/3P4/4q1K1/P7/8 w - - 0 40,middlegame,
5rk1/p4ppp/3bp3/8/P4P2/7P/1P3rPK/8 b - - 0 25,middlegame,
1r1q1r1k/2p1b2b/6pB/2npp3/6Q1/3P2N1/PPP2PPP/RN3RK1 b - - 1 17,middlegame,
r3r1k1/1b3pp1/2pp3p/6qP/4P2R/1PpBP3/pK5Q/5R2 w - - 0 30,middlegame,
8/7p/p2kB1p1/1p3p2/1P3P2/P2K2PP/8/8 b - - 0 40,endgame,
7r/R7/7k/4q3/6p1/2P5/PP4PP/1Q5K b - - 0 28,middlegame,
rnbqkb1r/pp2pp1p/2p2np1/3p4/3P4/2P1P1P1/PP3P1P/RNBQKBNR w KQkq - 0 5,opening,D00
3r2k1/1p5p/6p1/1NQ1Pp1n/P4P2/1P4P1/2P2RKP/3r4 b - - 0 30,middlegame,
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2P2/PPPP2PP/R1BQKBNR w KQkq - 1 4,opening,C25
4r1k1/p2p2pp/1p6/8/1P6/q3pP1P/4R1QK/8 w - - 0 40,middlegame,
8/pp1Q4/n7/3R4/3k4/3P4/PPP5/2K5 b - - 0 40,middlegame,
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 3 6,opening,E16
r2qk1nr/ppp1ppbp/2np2p1/8/3PP1b1/2N1BN2/PPP2PPP/R2QKB1R w KQkq - 4 6,opening,B06
rnbqk1nr/pp2ppbp/3p2p1/2p5/4PP2/2P2N2/PP1P2PP/RNBQKB1R w KQkq - 0 5,opening,B21
r1bqkbnr/pp2p1pp/2n2p2/3pP3/3P4/8/PP3PPP/RNBQKBNR w KQkq - 0 6,opening,B22
2rr2k1/5pp1/1q3b1p/pP1p2PQ/1n2p3/4P3/5P1P/1B3RK1 w - - 0 25,middlegame,
2kr3r/4bppp/pRp5/3p4/q3n3/3QBN2/5PPP/2R3K1 w - - 0 24,middlegame,
1Q2b2r/1p2Pp1k/5Ppq/1P2R2p/P6P/8/2B3P1/3R2K1 w - - 1 47,middlegame,
r1bqkbnr/pp1ppppp/n1p5/8/8/1P6/PBPPPPPP/RN1QKBNR w KQkq - 2 3,opening,A01
r4r1k/5qbP/1Q6/p3PpP1/1p1R1P2/1P6/P1PR4/2K5 b - - 0 41,middlegame,
8/8/PK6/7k/1p3R2/1r3p2/8/8 b - - 0 58,endgame,
2r2knr/3q3p/p2PR1p1/8/1QB3P1/5P2/PPP5/1K5R b - - 0 28,middlegame,
4rrk1/Rp4p1/2pbPq1B/4p3/6Q1/1P6/1PP2PPP/5RK1 w - - 1 19,middlegame,
5r2/pp1k4/8/2PBBP2/1P1P1K2/P7/3n2r1/4R3 w - - 1 46,middlegame,
r2q1r2/3k1pR1/p3RP1Q/2pN4/8/8/PP4PP/6K1 w - - 1 30,middlegame,
r4rk1/ppp4p/3p2pq/2n5/4b2P/P4PQ1/1B4BK/4RR2 w - - 0 30,middlegame,
3r4/2k1bp2/2pp1p2/p1p5/P4B2/4r1P1/5P1P/R5K1 w - - 0 33,middlegame,
1k1r3r/p1p2ppp/Qpn5/3b4/2P1n3/5N2/4qPPP/1R2BRK1 w - - 2 21,middlegame,
8/5pk1/7p/p7/7R/8/r7/5K2 w - - 1 44,endgame,
1k1rRK2/p6p/6q1/8/1r4P1/8/8/8 b - - 1 55,middlegame,
8/8/r7/5kp1/5p2/7P/6RK/8 b - - 1 73,endgame,
r2qkbnr/pp1bpppp/2np4/1B6/3pP3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 6,opening,B30
r3r3/pkpQ3p/1p6/q3P3/4P3/5N2/2PR1PPP/3R2K1 b - - 0 21,middlegame,
4r1k1/p4ppp/Bp6/2p5/2P5/6P1/K1P4n/2BRr3 w - - 0 30,middlegame,
5r1k/2qR2p1/4Q2p/p7/P7/5p2/5b1P/6K1 w - - 0 40,middlegame,
