fen,phase,eco
3Q2k1/p6p/1p4p1/4N3/3P4/6P1/P4P1P/4qBK1 b - - 0 32,middlegame,
q4rk1/Q1R2pbp/4p1p1/B1NpP3/P2P1P2/1P6/6PP/6K1 b - - 0 33,middlegame,
8/p5pp/8/2p3k1/2P3P1/7K/P7/7R w - - 0 51,endgame,
1k1r3r/8/Pp1N4/3PpP2/2P3p1/4Q1P1/2B2KP1/q7 b - - 0 35,middlegame,
rnbqkb1r/ppp2ppp/5n2/4p3/4P3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 5,opening,B07
rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq - 0 4,opening,A34
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/5N1P/PPPP1PP1/RNBQK2R w KQkq - 1 5,opening,B20
2rq1rk1/p2bn1bp/3Q2p1/3Pp3/4N3/1B2BN2/PP3PPP/R4RK1 b - - 0 17,middlegame,
r4rk1/ppp1pp2/5bpp/1Q6/5Pb1/3R4/qPP4P/1NK2B1R b - - 1 18,middlegame,
k7/P7/4K3/1p2P1P1/1P6/3r4/7R/8 b - - 0 51,middlegame,
3q4/7p/1pB4k/1P1p3n/P2PpBQ1/8/5PPP/6K1 b - - 0 38,middlegame,
7k/6bp/6p1/1pP5/4p3/4P3/3K2PP/8 w - - 0 41,endgame,
2kr4/ppp2N2/8/8/4n3/4P1P1/PPPB2K1/3R4 w - - 1 29,middlegame,
rn1qkbnr/1bpppppp/p7/1p6/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 2 4,opening,B00
r1b2rk1/pp1ppp1p/2n3p1/5N2/8/1BbqBP2/P1P1K1PP/R6R w - - 0 14,middlegame,
rnbqkb1r/ppp2ppp/4pn2/3p4/8/1PN5/PBPPPPPP/R2QKBNR w KQkq - 2 4,opening,A01
r2qkbnr/pbpppppp/1pn5/8/2P5/2NP4/PP2PPPP/R1BQKBNR w KQkq - 1 4,opening,A10
2rq1rk1/p4ppp/5n2/2B2b2/2P5/3P1NP1/P4PBP/R2Q1RK1 b - - 0 16,middlegame,
r2qkbnr/ppp2ppp/2np4/8/3PPpb1/2N2N2/PPP3PP/R1BQKB1R w KQkq - 1 6,opening,C25
r1bqk1nr/ppp1ppbp/3p2p1/3Pn3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 6,opening,A42
8/2q1nk2/5n2/pQ1p2p1/1p1Pp3/1P2P3/1B1N4/4bK2 w - - 0 38,middlegame,
6kr/5R2/p5p1/2p4p/2Pb1PP1/8/PP4KP/R1B5 b - - 0 29,middlegame,
2k5/5R2/2p5/ppPpP3/3PN3/1KP5/P2r1P2/8 b - - 0 37,middlegame,
