fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp
6rr/p4k2/1ppq1n2/3p1QR1/3P1P2/1P2P3/P2N3P/R4BK1 b - - 2 28,middlegame,,57,34,0,0,4,3,-74
4rrk1/1p1b3p/2p2n2/p1NpRp2/3q4/P4P2/1PQ3B1/5RK1 w - - 0 27,middlegame,,59,5,1,0,2,3,-618
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/8/PPP1BPPP/RNBQK1NR w KQkq - 2 5,opening,C01,76,34,0,0,2,2,0
8/3k4/p4p1p/1p6/5K2/8/PPP4P/8 w - - 0 38,endgame,,8,14,0,0,2,1,229
r7/ppQ1Rp1B/k4B1p/7N/6b1/1P6/P4PP1/2K5 w - - 1 31,middlegame,,39,55,0,0,3,0,9998
3rrb1k/1p4pp/pq6/8/3PR3/3Q1NP1/PP3PBP/3R2K1 b - - 0 28,middlegame,,57,37,0,0,3,4,643
1R2r2k/p5pp/2p2n2/4bP2/8/4B3/PPP1BPPP/2K4R b - - 0 20,middlegame,,38,28,0,0,1,4,462
rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/2P2NP1/PP2PPBP/RNBQK2R w KQ - 3 6,opening,D02,78,34,0,0,2,2,-6
r2qk2r/ppp1pp1p/3p1n1R/8/6b1/2N2n2/PPP2PP1/R2QKB2 w Qkq - 0 13,middlegame,,65,3,1,0,3,4,-174
6n1/1Qppkpq1/1pn1p2R/p3P3/3PN3/6N1/PPP3PP/R6K b - - 0 18,middlegame,,53,27,0,0,2,3,630
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 4,opening,D30,78,32,0,0,3,2,23
8/3k4/3p4/2pPp1b1/1p4Kp/1P6/8/5B2 w - - 0 55,endgame,,13,12,0,0,0,2,182
rnbqkb1r/pp3ppp/2p1pn2/8/3PP3/2N5/PPP3PP/R1BQKBNR w KQkq - 0 6,opening,D00,76,38,0,0,4,3,113
6r1/p3R1bk/1p1B3p/8/3P4/7P/PP3PP1/6K1 b - - 0 34,middlegame,,25,13,0,0,2,2,466
3r1rk1/pp3ppp/2n5/5R2/P5Q1/2q5/6PP/5R1K w - - 0 26,middlegame,,49,41,0,0,4,3,-604
r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P1P3/2N5/PP1P1PPP/R1BQKBNR w KQkq - 0 4,opening,A36,78,32,0,0,2,2,10
8/p5p1/1b5p/2pB2k1/8/4r1P1/5K1P/8 w - - 0 37,middlegame,,17,20,0,0,1,3,-208
rnbqkbnr/ppp3pp/3p4/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,C41,76,38,0,0,3,2,134
2rr2k1/6pp/8/p7/8/2p4P/Pn2R1PK/8 w - - 2 33,middlegame,,25,19,0,0,2,2,-988
rnbq1rk1/pp4pp/2pb1p2/3P4/3P1P2/4BNP1/PP2P1BP/RN1Q1RK1 w - - 1 12,middlegame,,73,33,0,0,2,2,697
5Qk1/5p1p/6p1/2N1q3/8/7P/5PP1/1B3RK1 b - - 0 34,middlegame,,35,1,0,1,1,3,673
8/1p6/p1b2bk1/P6p/8/6rK/7P/2R5 w - - 0 38,middlegame,,21,2,1,0,0,4,-429
rnbqkb1r/pp2pppp/3p1n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,opening,B90,76,42,0,0,2,3,39
1r1q1rk1/1P3ppp/p1p2n2/3Bp3/4P1b1/2P2N2/PP3KPP/RNBQ1R2 w - - 0 14,middlegame,,69,43,0,0,4,3,482
rn2kb1r/pp2pppp/5n2/2pq4/5Pb1/5N2/PPPPB1PP/RNBQK2R w KQkq - 4 6,opening,B21,76,29,0,0,2,4,40
4r2k/1p2P1q1/3P3p/pPP3p1/P1B1QBPb/8/8/3R2K1 b - - 0 34,middlegame,,47,25,0,0,3,2,563
r1b1kbnr/pp1p1ppp/1qn1p3/1Bp5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 5,opening,B30,78,34,0,0,3,3,60
rnbqkb1r/ppp3pp/4pn2/3p1p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,opening,A85,78,35,0,0,4,2,102
5rk1/6pp/4p3/3p4/5P1Q/6nP/r1q3PK/5R2 w - - 0 31,middlegame,,43,21,0,0,1,2,-574
6r1/p1p5/pk6/3PB3/3P3p/1P5P/PK2R1P1/8 b - - 0 33,middlegame,,23,19,0,0,3,0,556
4n1k1/5pp1/3P3p/8/2P5/5P2/5P1P/5K2 w - - 0 30,endgame,,11,9,0,0,2,0,528
3r2k1/6RR/p1p3n1/4P3/P5B1/B1Prn1P1/7P/6K1 b - - 2 28,middlegame,,39,0,0,1,1,3,10000
5r1k/bp3p2/p1pN3r/4P1n1/3P2B1/2P3P1/PP4KP/4RR2 b - - 0 29,middlegame,,43,33,0,0,3,3,555
r1b3k1/p1q3R1/1p3P1p/3p4/2n4P/2P2N2/P2BBPP1/R3K3 b Q - 0 20,middlegame,,49,3,0,1,2,2,588
rnbqkbnr/ppp2p1p/3p4/6p1/3PPp2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 5,opening,C34,77,35,0,0,3,1,-15
r2qknQ1/4bp1p/b1ppp3/p5P1/4P2P/3PBNN1/PP2BP2/2KR2R1 b q - 0 20,middlegame,,67,24,0,0,4,2,843
4r1k1/pq3pbp/3p2p1/6B1/2P5/3Q2P1/PP2PP1P/1R3RK1 b - - 0 18,middlegame,,51,46,0,0,3,4,633
6k1/5p1p/6p1/8/1N6/1Pr5/2PK1PPP/2R5 b - - 0 29,middlegame,,21,20,0,0,1,0,628
2rqk2r/3b1ppp/p2bpn2/3p4/P1pN4/4P3/1Q1NKPPP/R6R b k - 1 17,middlegame,,65,39,0,0,2,3,-879
8/p6p/1p2p1r1/2p5/5k1K/P1Pp4/1P6/4R3 w - - 0 49,middlegame,,19,18,0,0,3,4,-580
4b1k1/6rp/p1p1N3/2Pp1p2/P7/4r3/5KP1/2R5 b - - 1 45,middlegame,,29,34,0,0,1,3,-825
5k2/p1R5/1p4p1/4P3/3P4/8/PP6/2K2B2 b - - 0 29,middlegame,,15,6,0,0,1,0,970
8/2p5/p6p/3k2pq/3pQpRn/8/PP3r1P/4R2K b - - 1 35,middlegame,,45,3,0,1,4,3,224
k1r2r2/pp6/2n3R1/q2p2Qp/3P4/P1N2P2/1PP2P1P/1K1R4 b - - 2 24,middlegame,,55,34,0,0,4,4,314
8/1kp2r2/1p6/1P1p4/3P4/2K3p1/8/8 w - - 0 54,endgame,,11,6,0,0,2,1,-705
r2qkb1r/ppp1pppp/2n2n2/3p4/3P2b1/2P1PN2/PP3PPP/RNBQKB1R w KQkq - 1 5,opening,D02,78,31,0,0,2,4,22
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 4 6,opening,B13,76,36,0,0,4,4,0
6k1/1p3pp1/1p5p/1N1p4/3P4/1Pn1b2P/4K1P1/8 w - - 0 30,middlegame,,19,6,1,0,2,3,-178
rn1qkbnr/pbp1pppp/1p1p4/8/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq - 0 4,opening,B00,78,38,0,0,3,3,105
2k5/1pp1b3/n4p2/4p1p1/2bqPnPp/5P1P/P2r1RB1/R1Q3K1 w - - 0 29,middlegame,,59,17,0,0,2,4,-678
8/6bk/5p1p/6p1/1PP1N3/P6P/5PP1/6K1 b - - 0 38,middlegame,,15,8,0,0,1,1,541
rnbqk1nr/pp1pppbp/6p1/2p5/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 2 4,opening,B23,78,37,0,0,2,2,14
3r3k/pp4b1/1n4pp/5p2/2P2p2/2q5/P3Q1PP/3RR2K w - - 0 29,middlegame,,49,35,0,0,4,4,540
5k2/p4pp1/q3p2p/8/1P1P3b/P1K5/2R5/8 w - - 0 35,middlegame,,25,14,0,0,2,1,-556
1rq2rk1/6pp/BPb1p3/2Pp1p2/1B1P1P2/1Q2P3/6PP/R3K2R b KQ - 0 24,middlegame,,59,26,0,0,3,2,553
4Q3/p7/2p5/1p2K3/4N3/6pk/8/4r3 w - - 0 45,middlegame,,21,20,0,0,4,2,543
3rr1k1/p4p1p/2p3p1/4bP2/2P4q/1N3P1P/PPQ2PB1/1R3RK1 b - - 0 24,middlegame,,59,49,0,0,3,4,374
7Q/3qkpp1/4p3/4P1Np/5P2/3b3P/PP4P1/R6K b - - 0 34,middlegame,,39,27,0,0,2,3,648
8/1p6/2p5/P3P1k1/1Pb5/6Bp/5K2/8 w - - 0 52,endgame,,12,10,0,0,1,1,-3
r1q5/1np2pk1/p2p1Nr1/1p1P4/8/P1PP1Q2/1P3PPP/R3K2R w KQ - 1 23,middlegame,,57,38,0,0,3,1,502
2R5/5kpp/4p3/3pPp2/p3rP1P/2R3PK/2n5/6q1 w - - 2 43,middlegame,,37,23,0,0,1,4,-605
r1bqkbnr/pp1npppp/2pp4/8/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq - 2 4,opening,B07,78,37,0,0,3,2,35
6rk/1p3p1p/1bnR1p2/4pq2/pP6/2P5/P1KR1P2/8 w - - 0 38,middlegame,,40,5,1,0,2,3,-752
rnbqk2r/pp1p1ppp/4pn2/8/1bPpP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 0 6,opening,E20,77,30,0,0,3,2,-92
rnbq1rk1/ppp1ppbp/3p1np1/8/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w - - 4 6,opening,A48,78,33,0,0,3,3,30
1rr4k/R5pp/3Qn3/8/5P1P/1N2P3/1KPNq3/7R b - - 0 32,middlegame,,53,43,0,0,4,1,-19
rnb4Q/ppp2p2/3k2q1/3PN2p/8/2B1P2P/PP2B1P1/R4RK1 b - - 2 17,middlegame,,59,35,0,0,2,3,1941
1rb2rk1/5pbp/p2P2p1/1pB1n3/4P2q/P1NP1R1P/BPPQ2P1/1R5K w - - 1 21,middlegame,,69,49,0,0,3,2,466
5rk1/p1p3pp/8/8/P3pb2/7P/P2p2P1/1RqQ3K w - - 0 29,middlegame,,41,19,0,0,0,1,-616
2rRk3/B3bppp/4p3/8/8/6N1/PPP2PPP/2K5 b - - 0 19,middlegame,,29,3,0,1,3,1,-46
4Q3/5pk1/P2p1r2/2p3p1/2P1P1P1/2P3K1/1P6/4R3 w - - 1 41,middlegame,,29,31,0,0,4,2,1328
8/3N1kp1/b1pP4/p1P4r/4pB2/6Pp/PP3P1P/2R3K1 w - - 1 31,middlegame,,31,25,0,0,1,2,561
1Q3rk1/r4p1p/6p1/p1pN4/2P3P1/1P5P/P1P5/1K1RR3 b - - 0 28,middlegame,,43,18,0,0,4,1,678
2N2k1r/4np2/nR2p1pp/2p1P3/2PP2PP/8/P2KNPB1/8 b - - 0 23,middlegame,,37,18,0,0,4,2,591
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,opening,D31,78,28,0,0,2,1,54
r1bqkb1r/pp2nppp/2n1p3/2pp4/8/3P1NP1/PPPNPPBP/R1BQK2R w KQkq - 2 6,opening,A04,78,29,0,0,3,4,11
8/1kpK3p/pp6/7r/8/2r5/P1P5/3R4 w - - 0 38,middlegame,,21,18,0,0,2,2,-641
r1bqk2r/pppp1ppp/3b1n2/4n3/3PP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,opening,C46,74,37,0,0,4,3,33
8/p4p2/4pKp1/8/2k2P2/7r/8/6B1 b - - 0 45,endgame,,13,24,0,0,2,2,-575
rnbqk1nr/pp2ppbp/2pp2p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 2 5,opening,A41,78,40,0,0,4,3,87
1k1r4/pp6/1np1pp2/N4bp1/3P4/1Q4P1/PP1p2K1/R3B2r w - - 0 30,middlegame,,47,29,0,0,2,4,385
8/8/3pp3/2k2p2/5P2/4K1Pp/1b2N2P/8 b - - 1 39,endgame,,13,17,0,0,3,4,-157
1n1q1rk1/pp2ppbp/1n4p1/6N1/3p4/P2b4/1P2N1PP/2RQ1RK1 w - - 0 20,middlegame,,62,41,0,0,2,4,-284
r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,opening,C65,78,37,0,0,4,4,14
3rk3/r1b4p/p7/4P1p1/2BP4/P1P1N1PP/7K/5R2 b - - 0 37,middlegame,,33,20,0,0,3,3,274
r2q1rk1/pp3pp1/3b2R1/7p/2PB4/1P1P4/P4PPP/RN1Q2K1 b - - 0 17,middlegame,,59,34,0,0,3,1,-25
8/p2r4/1p1P1kpB/5p2/P6P/1B2PbP1/5P2/3R2K1 w - - 1 31,middlegame,,29,26,0,0,2,3,576
3rr1k1/6pp/1R3n2/2b5/2p2B1P/2P3P1/1PQ2PB1/R5K1 b - - 0 25,middlegame,,49,39,0,0,4,4,592
3q4/6pk/p4pbp/4rN2/2PQ2P1/1PB1RP1P/P5K1/8 b - - 0 42,middlegame,,47,33,0,0,4,4,523
2k2rr1/pQp4p/6q1/8/8/1P3BPb/P1P2P1N/R3R1K1 b - - 0 25,middlegame,,55,2,0,1,3,1,997
r2q1rk1/pb1nbppp/2p1p3/4P3/1P2P3/1BQP1N2/1PP3PP/R1B1K1NR b KQ - 2 14,middlegame,,73,32,0,0,4,2,517
Nkbq1r2/1p1p2p1/p1n2bB1/4N3/8/2B4Q/PPP3PP/2KR3R b - - 0 22,middlegame,,63,26,0,0,4,2,472
3r1rk1/8/pR6/2p5/P1Pp3P/5N2/5PP1/3R2K1 b - - 0 37,middlegame,,31,19,0,0,3,2,607
rnb2r2/pp4bk/2p2qp1/5P2/3P4/1B3N2/PP3PPP/R1BQ1RK1 b - - 0 14,middlegame,,67,30,0,0,3,3,514
rnbqkbnr/1ppp1pp1/p3p2p/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,C00,78,36,0,0,3,1,90
r3qrk1/4bppp/1PP5/p6n/3NP3/4B3/P2QB1PP/1KR4R w - - 0 24,middlegame,,63,52,0,0,2,0,830
8/1p6/p1p1k3/4rp2/1P2r3/4PK2/2Q5/8 w - - 1 50,middlegame,,25,23,0,0,2,4,-378
r1bqkb1r/pppnpppp/5n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,opening,D24,77,34,0,0,4,3,84
1n1r4/3Rk2p/4p3/1pB1P3/1p4P1/8/PPP1K2P/3R4 b - - 0 33,middlegame,,31,1,0,2,2,1,9998
r1bqk2r/pp3pp1/2p5/4p3/3bP3/1PN3Pp/PB1QB2P/R3K2n w Qkq - 0 17,middlegame,,63,35,0,0,3,3,-647
1rqb2k1/p1p2r2/1p5Q/1Nn1P1p1/8/P6P/1PPR1PPB/2KR4 b - - 2 22,middlegame,,61,33,0,0,3,1,489
5Q2/8/3r1k1p/5n2/1p1P4/2P4P/PP3P1K/8 b - - 2 36,middlegame,,25,3,0,1,2,3,556
5rk1/5ppp/pQ1Bp3/1P1pP3/5P2/5N2/1P4PP/R4RK1 b - - 0 24,middlegame,,42,15,0,0,2,2,1235
2kr4/1b1p1p2/2n1p3/1B2P3/5P2/2P2N2/2PK1PP1/R7 b - - 0 20,middlegame,,31,19,0,0,2,3,391
6r1/5R2/1R6/4p2p/7k/P2PB2P/1P3p2/5K2 w - - 1 51,middlegame,,25,39,0,0,2,1,1048
8/8/2k3p1/p6p/3K4/1P6/P4PPP/8 w - - 0 35,endgame,,8,15,0,0,3,1,619
5rk1/5pbp/4p1p1/3p2Q1/8/5BP1/5P1P/1r4K1 w - - 0 25,middlegame,,33,3,1,0,3,4,-551
6k1/1pp3p1/1p1p4/6Q1/4q3/P1P4p/1PK5/8 w - - 0 35,middlegame,,27,4,1,0,3,3,-580
2R5/2P2pkp/5rp1/8/4P3/7P/5PP1/2R1K3 b - - 0 43,middlegame,,23,13,0,0,1,0,662
6r1/1p5k/1P2p2p/Q1PpP1R1/P2P4/8/7P/5K2 b - - 0 56,middlegame,,29,13,0,0,1,2,581
2r2b2/p2b1knp/Pp1p1Np1/3PN3/8/1BP1B3/1P3PPP/R5K1 b - - 0 22,middlegame,,43,3,0,1,3,1,668
rnbqkb1r/pp2pp1p/2p2np1/3p4/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,opening,A07,78,34,0,0,3,2,19
rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 3 4,opening,D03,78,31,0,0,2,2,21
r6k/ppp1q2p/3p1Nb1/P2P2R1/4N2R/3B3P/1PP4B/7K b - - 2 40,middlegame,,49,29,0,0,3,2,654
8/6pk/p6p/8/8/r5KP/3n2P1/8 w - - 0 43,endgame,,13,5,1,0,0,1,-699
5rk1/pp3p1p/2p5/3p1p2/1P2nP2/2P3PP/P7/5K2 w - - 0 31,middlegame,,21,10,0,0,2,2,-838
3r4/p4b2/2k2Q2/4pB2/P2rP2R/1p1PQ3/1P6/1K5R b - - 0 41,middlegame,,51,6,0,1,4,3,2167
r3kb1r/pp2p1pp/2p5/4P3/3P1Pq1/1P6/3N4/2BK1R2 w kq - 0 25,middlegame,,43,4,1,0,2,1,-857
1nb2rk1/1p3pp1/p2pp2p/2p5/P1n5/3P1N1P/2P2PP1/1R2R1K1 w - - 0 17,middlegame,,41,33,0,0,3,3,-94
rnbqkb1r/pp2pppp/2pp1n2/8/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,A02,78,30,0,0,2,3,15
8/5kp1/8/Pp6/8/1nP1NPKP/8/4B3 b - - 0 53,middlegame,,15,16,0,0,3,1,502
6k1/pppN1p1p/6p1/8/1PPb2P1/4p3/r5P1/4R2K w - - 0 31,middlegame,,27,20,0,0,2,1,-551
8/5rkp/5Rp1/p1pP2P1/P1P5/1P1P4/6PK/8 b - - 2 48,middlegame,,21,12,0,0,2,1,299
5rk1/ppqb2pp/3bp3/2p1P3/P2p3r/1P1P4/2P1Q1B1/R3R1K1 w - - 0 24,middlegame,,59,31,0,0,3,4,-580
4r1k1/p4ppp/5n2/2b5/1p6/2rBKN1P/1q3PP1/R6R w - - 2 24,middlegame,,49,1,2,0,3,4,-9996
4r2k/ppR5/7b/7p/2P3pP/4P3/PP4P1/R1B3K1 b - - 0 34,middlegame,,31,22,0,0,2,2,580
7R/p3k3/1p2pp1p/6p1/P4nK1/5P2/1P3P2/3r4 w - - 2 39,middlegame,,23,13,0,0,1,3,-549
r1bqkb1r/pp2pppp/2n2n2/2Pp4/3P4/8/PP3PPP/RNBQKBNR w KQkq - 1 6,opening,B13,76,37,0,0,2,4,-1
2r5/4kp2/p6p/Bp1bp3/1P6/8/P1Bb4/1K5R w - - 2 31,middlegame,,29,25,0,0,1,2,-114
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,C45,73,35,0,0,2,0,89
5nk1/1p4pp/5p2/pb2p3/P2r3P/2R5/1P3PP1/2K5 w - - 0 26,middlegame,,27,23,0,0,0,4,-530
rnb1kb1r/ppp2ppp/4pn2/6N1/2Bqp3/2N5/PPPP1PPP/R1BQK2R w KQkq - 2 6,opening,A06,77,41,0,0,2,3,15
8/8/5p2/3k4/P3p3/2Q5/1P6/K7 w - - 0 53,endgame,,13,26,0,0,2,3,975
8/pp6/4k3/2P4p/1R4P1/8/P4B1P/6K1 b - - 0 37,middlegame,,15,12,0,0,2,2,710
2rr2k1/1p3pp1/p1b1p2p/4P3/8/qN2b1P1/2P3BP/3RR2K w - - 0 26,middlegame,,51,29,0,0,3,3,-688
5rk1/8/4p1p1/1RPn4/8/1R2PB1P/2r2PP1/6K1 b - - 0 32,middlegame,,33,33,0,0,3,1,442
r6r/1R5P/6P1/p2pp3/P1P4P/k3P3/8/5RK1 b - - 0 35,middlegame,,29,20,0,0,2,2,637
6k1/R4r2/6p1/3p1b2/3B4/P1P5/P4KPP/8 b - - 0 31,middlegame,,23,21,0,0,2,1,339
8/8/5pk1/6p1/8/2r5/4K3/8 b - - 0 66,endgame,,7,22,0,0,0,1,-720
4b3/4kp2/3p1n2/2p1p1N1/1pPbP3/pP1P4/P5r1/3K3R b - - 1 43,middlegame,,33,32,0,0,2,4,-1052
2r2rk1/1p3p1p/8/p3p3/P1P5/1P2qNP1/4p1KP/2n1R3 b - - 1 27,middlegame,,41,37,0,0,3,3,-1139
8/p7/2p1Pk2/5b2/1PB2N2/P4P2/5K2/8 w - - 1 41,middlegame,,15,25,0,0,2,3,575
rnbq1rk1/ppp1ppbp/3p1np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - - 1 6,opening,A04,78,27,0,0,3,3,50
1n1qkbnr/2ppppp1/bp6/p6p/4PP2/3P1N2/PPP3PP/RNBQK2R w KQk - 0 6,opening,B00,70,33,0,0,4,0,280
rnbqkbnr/p1pppppp/8/8/2p5/2N5/PP1PPPPP/R1BQKBNR w KQkq - 0 3,opening,A10,77,25,0,0,2,0,10
2r2k1r/1b3Qp1/p7/2b1P1B1/4p2P/6P1/1PP2P2/2KR3R b - - 0 27,middlegame,,47,1,0,1,2,3,238
r1b2rk1/pp3pb1/3B3p/2pP4/3n4/3P1N1P/PPP3P1/R2QKB1R b KQ - 0 14,middlegame,,59,29,0,0,3,2,739
2k1r3/pp3ppp/2p2n2/8/2P3b1/2NB3q/PPQ2b2/R3K1R1 w - - 0 23,middlegame,,57,2,2,0,2,4,-9999
8/1r6/8/5p1p/1P1BbP1P/2Pk2P1/R4K2/8 b - - 2 41,middlegame,,23,17,0,0,2,3,211
rn1qkbnr/pp2pppp/2p5/3p1b2/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq - 1 4,opening,A12,78,24,0,0,3,2,13
r1bqkbnr/1ppp1p1p/p1n3p1/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,opening,C60,78,33,0,0,3,2,65
r1b1rk2/pp3p1p/2p5/6R1/4N2n/1P1P1p2/PKP5/5R2 w - - 0 28,middlegame,,39,41,0,0,3,3,-380
rnbqk2r/ppp1ppbp/5np1/2Pp4/3P4/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 5,opening,D80,78,32,0,0,4,2,-34
rnbqkbnr/pp3ppp/3p4/4p3/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 0 6,opening,B53,75,42,0,0,4,2,171
8/p1r2kpp/4pp2/2n5/3K4/7P/P1R3P1/8 w - - 0 37,middlegame,,21,16,0,0,3,3,-463
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/2N3P1/PPP1PPBP/R1BQK1NR w KQkq - 0 5,opening,D01,78,33,0,0,4,2,-47
r1b1r1k1/p4ppp/1pp5/3p4/1B1P1b1n/4P2P/PP1KN1P1/R4B1n w - - 0 27,middlegame,,49,28,0,0,2,3,-697
r4k2/pp3Pq1/6p1/2Q5/2B4R/P4P2/1P3PKP/3r4 b - - 0 28,middlegame,,45,1,0,1,4,3,9999
r1bqkbnr/pp1p1ppp/8/2p1p3/2BnP3/2NP4/PPP2PPP/R1BQK1NR w KQkq - 1 5,opening,C27,78,37,0,0,2,1,116
6k1/R6p/8/2p3p1/3pKp2/8/P1r3P1/8 w - - 2 44,middlegame,,17,21,0,0,3,1,-301
rnbqk2r/ppppnpbp/4p1p1/8/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq - 2 5,opening,A04,78,28,0,0,3,3,35
rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,opening,B43,78,40,0,0,4,2,82
8/3bk1p1/1r1p1p2/P2Pp1p1/8/5QK1/2r3PP/8 w - - 0 44,middlegame,,31,19,0,0,2,2,33
rnbq1rk1/ppppb1pp/4pn2/5pB1/3P4/3BPN2/PPP2PPP/RN1QK2R w KQ - 3 6,opening,A80,78,39,0,0,3,2,56
r1b2rk1/pppp2pp/2n1p3/8/4PP2/4nNP1/P1P1Q2P/q4BKR w - - 0 16,middlegame,,61,26,0,0,3,3,-590
5rk1/p3b1r1/1p6/2p1Q3/3pP1P1/3P3P/PPP3B1/R5K1 w - - 1 28,middlegame,,41,34,0,0,3,1,634
r1bq1rk1/ppppppbp/2n2np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 1 6,opening,E61,78,38,0,0,4,4,97
6rk/8/3N4/3p1p1q/P2PpP1P/3bB2P/6QK/R7 b - - 0 45,middlegame,,45,31,0,0,3,1,-505
8/5p1p/4k1p1/3pp3/1BR5/P3P3/1P3PPP/6K1 b - - 0 29,middlegame,,19,11,0,0,2,4,570
6k1/q4p2/1R4p1/1P1pP2p/3P1P2/6PP/1PQ4K/r7 w - - 1 41,middlegame,,39,34,0,0,2,1,187
4r1k1/pp1n1p1p/2p3p1/3p4/3Pr3/b1P5/PP1B2RP/R2K4 w - - 0 23,middlegame,,41,23,0,0,2,4,-510
Q2r4/6kp/3n1p2/3B2p1/3P4/2P5/5PPP/4R1K1 b - - 0 32,middlegame,,33,24,0,0,4,2,623
8/3k4/p1r1ppq1/Q1Pp4/p2B2n1/8/KP6/3R4 w - - 0 32,middlegame,,41,29,0,0,2,3,-32
8/6pp/k7/6P1/1p1K3P/p7/8/8 b - - 0 58,endgame,,6,10,0,0,3,0,-710
r4q1k/5p1p/pp3p2/7Q/3Np3/1P4P1/b5P1/2R3K1 b - - 0 30,middlegame,,43,26,0,0,2,1,-109
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/3BPN2/PP3PPP/RNBQK2R w KQkq - 1 6,opening,D02,78,36,0,0,4,2,28
6k1/p6p/1p1p4/1PpPp3/6P1/6p1/PP2K3/5r2 w - - 0 40,middlegame,,17,9,0,0,0,2,-362
2k4B/p6p/3p4/2p5/4P2P/1P2P3/P1P2r2/2KR4 b - - 0 24,middlegame,,23,23,0,0,3,2,516
8/1B4p1/4p2p/1KP5/3k3r/8/8/4n3 w - - 0 55,middlegame,,15,16,0,0,2,4,-495
rnbqk2r/ppp1bpp1/4pn1p/3p4/3P4/3BPN2/PPP2PPP/RNBQ1RK1 w kq - 0 6,opening,D05,78,33,0,0,3,2,25
4kR2/8/8/p1ppP3/P7/1P4R1/2P3K1/8 b - - 0 44,middlegame,,17,3,0,1,0,2,585
8/5p2/5p2/6k1/4K3/2P5/PP6/8 w - - 1 46,endgame,,5,10,0,0,3,1,471
rnb1k1nr/1pqp1ppp/p3p3/8/P1B1P3/2b2N2/1Pp1QPPP/R1B2RK1 w kq - 0 10,middlegame,,73,39,0,0,4,3,73
rn1qkb1r/pp2pppp/2p2n2/3p4/3P2b1/4PN2/PPPN1PPP/R1BQKB1R w KQkq - 1 5,opening,D02,78,27,0,0,3,2,-1
8/1p6/6p1/1k3bKp/7P/8/8/q7 w - - 0 55,middlegame,,16,2,0,0,0,3,-3959
8/4Q2p/BP3kp1/p2p4/8/7P/5PP1/4R1K1 b - - 0 38,middlegame,,25,1,0,1,2,2,9999
2r5/3R4/1R6/4Bp1k/4n1Pp/8/1PP2PPK/r7 b - - 0 33,middlegame,,33,3,0,1,2,1,421
6k1/2B4p/6p1/1p3p2/3b4/1P3KPP/8/8 b - - 1 39,endgame,,13,22,0,0,2,2,-171
r4rk1/p4ppp/2pp4/1q4b1/1p4n1/4BNK1/PPP4R/R1QN4 b - - 1 21,middlegame,,63,46,0,0,2,2,-433
8/p6p/6p1/4k3/4P3/P4P2/1PK3P1/4R3 b - - 0 44,endgame,,13,10,0,0,2,3,623
