fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
5rk1/pp6/2p1Pp1p/3n3P/3p1r2/1P1B3Q/P4K2/8 w - - 0 37,middlegame,,35,6,1,0,1,4,-89,f2e1
8/7k/3K4/3P4/2P5/8/8/6R1 b - - 0 59,endgame,,7,2,0,0,2,0,3635,h7h6
6k1/p4p1p/2r2bp1/P3p3/4p3/7P/4BPP1/1r3RK1 w - - 0 27,middlegame,,31,20,0,0,0,2,-184,f1b1
rnbqkb1r/ppp1pppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,B07,77,34,0,0,2,1,-56,f1d3
r1k1r3/pb4pp/2BQ1b2/2p5/8/B1P5/P1P2PPP/R3R1K1 b - - 0 22,middlegame,,51,28,0,0,4,3,1474,e8d8
3r1rk1/1pq2pp1/p1bp3p/4bP2/P1B3QP/1P6/7B/3R1nK1 w - - 0 27,middlegame,,58,39,0,0,4,4,-651,h2e5
k3rr2/pp6/8/1P2P3/P1qp3N/4bNP1/6QP/4RR1K b - - 0 42,middlegame,,55,44,0,0,2,3,517,c4a4
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 1 6,opening,C50,78,31,0,0,3,4,-4,d2d3
8/p6k/3p3p/1p2p3/1P2P3/P1P3p1/6b1/6K1 w - - 0 50,endgame,,13,3,0,0,2,3,-401,g1g2
rnbqkbnr/ppp1pppp/3p4/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,opening,A04,78,36,0,0,3,1,136,b1c3
8/6R1/1p6/1k5P/4bB2/2K5/8/8 b - - 0 42,endgame,,13,18,0,0,2,1,628,b5c5
8/3n2p1/R4r1p/3Pp1k1/PP2P3/6P1/4B2P/6K1 w - - 1 32,middlegame,,25,24,0,0,1,2,608,a6a7
r4r2/pp2n2k/3pBq1p/2p5/2P1P3/2P1BP2/PP5P/R2Q2RK b - - 0 22,middlegame,,59,37,0,0,3,3,238,f6e6
8/5kr1/4p1r1/2R1P1p1/2P1K1R1/1P2P3/P7/8 b - - 0 53,middlegame,,27,8,0,0,4,1,483,f7g8
rnbqk2r/ppp1bppp/5n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 1 6,opening,C01,76,42,0,0,3,2,18,g1f3
r2qkb1r/pp1n1p2/2p1p3/3P4/6Q1/3P2PN/PPPN1PB1/R1B1R1K1 b kq - 0 13,middlegame,,68,39,0,0,4,2,797,d7f6
r2r2k1/1p3p1b/p6B/3P4/8/1BP4P/P4PP1/5RK1 b - - 0 28,middlegame,,33,22,0,0,2,2,209,b7b5
r1b3k1/1p1p2Bp/p2qr1pP/4pp2/1PB3n1/P1P1bN2/2Q3R1/R3K3 w Q - 2 28,middlegame,,67,48,0,0,4,4,-82,g2g4
rnbqk2r/1pp2ppp/p2p1n2/2b1p3/2B1P3/2NP3P/PPP2PP1/R1BQK1NR w KQkq - 0 6,opening,C26,78,38,0,0,2,4,14,g1e2
8/1p6/pkp5/8/8/7K/PPP3r1/8 w - - 0 46,endgame,,11,8,0,0,0,1,-8,h3g2
r7/pp1kp3/n1p1pbp1/3p4/N1P2P1r/P4N2/1P6/2KR3R b - - 1 24,middlegame,,43,38,0,0,3,4,-566,h4f4
8/pkP5/N3N1pp/8/3p4/8/1PP3PP/6K1 b - - 2 38,middlegame,,15,8,0,0,1,0,698,h6h5
3r2k1/1p2bpp1/6p1/p1pr3P/3p1B2/P2R4/1Pq2PQ1/3R2K1 w - - 0 33,middlegame,,55,45,0,0,4,3,-330,h5g6
4r3/8/1P2kB1R/3nP1p1/6P1/7P/5K2/8 b - - 0 43,middlegame,,21,18,0,0,1,2,409,e8b8
8/8/1B6/2p4p/8/5k2/5qn1/6K1 w - - 2 66,middlegame,,17,2,1,0,0,2,-3665,g1h1
2k5/8/5pn1/1p1Pp1p1/2p1P3/1qP1P2r/8/B1K5 w - - 0 35,middlegame,,29,3,0,0,2,2,-9998,a1b2
8/p1r1r1pk/1bP4n/1Q4p1/5p2/1B2P2P/PPP3P1/R4RK1 b - - 0 30,middlegame,,49,27,0,0,3,3,646,f4e3
2r4k/q5b1/nR1Q2p1/P2P3p/2N1Pp2/3B1P2/6PP/5K2 b - - 0 41,middlegame,,49,34,0,0,3,2,395,a6c5
4rrk1/2q2pbp/p2p2p1/2p4P/3p1n2/P5PB/1P3Q1K/1R2R3 w - - 0 30,middlegame,,58,41,0,0,3,4,-485,g3f4
6k1/p1br1pp1/N6p/8/6P1/4P3/4RK2/1r6 w - - 0 39,middlegame,,27,13,0,0,1,3,-576,e2a2
rnbqk1nr/ppppppbp/6p1/8/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 1 3,opening,A04,78,23,0,0,2,2,10,d2d4
8/R7/6kp/4r1p1/8/1B4P1/P4P1P/6K1 b - - 0 32,middlegame,,19,17,0,0,1,2,561,h6h5
5k2/1N3pp1/q1K4p/8/8/8/8/8 w - - 0 49,middlegame,,15,4,1,0,1,0,-589,c6c7
2n5/6pp/5p2/B4P2/8/1k2K3/5P1P/8 b - - 1 45,endgame,,12,14,0,0,2,1,-12,b3c4
5rk1/5ppp/1P2n3/p4r2/1p1p4/8/P5PP/3RR2K w - - 0 31,middlegame,,33,21,0,0,3,3,-557,b6b7
r1b2rk1/pp2b1pp/1np1p1n1/2N1P3/1Pp2P2/6P1/P5BP/R1Bq1RK1 w - - 0 17,middlegame,,63,30,0,0,3,3,-610,f1d1
4k3/1b1pb3/1p1pp1p1/2n1Pp2/p1P2P2/P6p/1P5P/3RR1K1 w - - 0 28,middlegame,,33,17,0,0,4,3,-428,d1d6
rnb1k2r/pppp2pp/4pq2/5p2/1b1PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 1 6,opening,A80,72,32,0,0,4,4,16,e4e5
rnbqkb1r/pppp1ppp/8/4p3/4nP2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,opening,C30,77,29,0,0,2,1,65,f4e5
rn1qkb1r/pp2pppp/2p2n2/8/2pP2b1/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 1 6,opening,D15,77,34,0,0,4,3,61,f1c4
8/p6p/5ppk/8/2P2r1P/1P1R1P2/P3RPK1/8 w - - 1 38,middlegame,,25,30,0,0,4,3,658,g2g1
r1bqkb1r/pppp1pp1/2n2n1p/8/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 6,opening,A51,76,36,0,0,3,4,-6,e2e3
k7/1b3p2/p3p2p/8/4pP2/3qr3/P5R1/1R2Q1K1 w - - 0 36,middlegame,,43,39,0,0,1,3,524,e1b4
rnbqkb1r/ppppp1pp/5p2/6B1/3Pn2P/8/PPP1PPP1/RN1QKBNR w KQkq - 0 4,opening,A45,78,29,0,0,2,1,13,g5f4
8/1b3R2/pkp1p1p1/4P3/5Pn1/KN3B2/1n6/6r1 w - - 0 40,middlegame,,31,27,0,0,4,2,-111,a3b2
6k1/pr4bp/3pb3/8/4P1P1/P1R1B3/1PP5/2KN3R w - - 1 31,middlegame,,35,34,0,0,2,3,599,c3c6
rnbq1rk1/ppp1bppp/4pn2/3p4/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w - - 5 6,opening,A04,78,31,0,0,2,2,24,c2c4
rn5r/pp3kb1/3Bb1pp/q2Np3/4P3/1QP2N2/PP3PPP/R3KB1R b KQ - 0 13,middlegame,,71,36,0,0,3,3,700,b8d7
8/1pR4p/1p1p1pk1/6P1/1P5r/8/r7/4R1K1 b - - 0 34,middlegame,,27,34,0,0,2,3,-438,h4g4
7r/pb4k1/1pnp1qP1/2p1pP2/8/2PP2n1/PP6/2K3N1 w - - 0 23,middlegame,,37,13,0,0,2,3,-1249,d3d4
rnbq1rk1/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PPPBP/R1BQK1NR w KQ - 3 5,opening,A22,78,32,0,0,2,3,0,d2d3
r2qkbnr/ppp2ppp/2n5/4p3/4P1b1/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 1 6,opening,A02,76,28,0,0,3,3,-41,f1b5
rnbqk1nr/pp2bppp/2p1p3/8/2BPP3/2N5/PP3PPP/R1BQK1NR w KQkq - 1 6,opening,D31,76,46,0,0,4,2,162,e4e5
8/7p/6p1/1K1k4/P2b1p2/5P1P/6P1/3B4 b - - 0 46,endgame,,13,19,0,0,1,3,11,g6g5
rnbqkb1r/pppp2pp/4pn2/5p2/3P4/5N2/PPPNPPPP/R1BQKB1R w KQkq - 2 4,opening,A80,78,23,0,0,3,2,36,g2g3
r1bqkb1r/ppp1pppp/2n2n2/3pN3/8/6P1/PPPPPP1P/RNBQKB1R w KQkq - 4 4,opening,A08,78,28,0,0,0,4,0,e5c6
r5k1/3n2pp/1p2p3/5p2/r1pP1P2/2QbP1P1/3N2KP/3q1R2 b - - 1 31,middlegame,,53,46,0,0,3,3,-1275,d3f1
r1bqkbnr/pp2pp1p/2np2p1/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,B50,76,43,0,0,3,2,82,c1e3
rnb1kbnr/ppqp1ppp/4p3/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq - 1 4,opening,B40,78,29,0,0,3,3,88,d2d4
7k/2R5/8/3pN1Np/3P1K2/1r4P1/5P1P/5b2 b - - 2 37,middlegame,,25,22,0,0,2,1,690,b3b2
6k1/4pp1p/6p1/8/8/7P/6P1/5rK1 w - - 0 44,endgame,,11,2,1,0,0,0,-526,g1f1
3r1r1k/6p1/3b3p/7q/PP2Q3/2N2R1P/2P3P1/4R2K b - - 0 31,middlegame,,51,38,0,0,4,2,-273,f8e8
rnbqkb1r/1p2pppp/p4n2/3p4/3P1B2/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,opening,D10,76,38,0,0,4,2,56,e2e3
8/4k3/3p4/p4p2/2pKb1r1/1P6/P7/4R3 w - - 0 37,middlegame,,19,17,0,0,3,3,-581,b3c4
rnbqkb1r/ppp1pp1p/3p1np1/8/4P2P/2N5/PPPP1PP1/R1BQKBNR w KQkq - 0 4,opening,B07,78,33,0,0,2,3,64,d2d4
8/8/4pk1p/5p2/5p1P/8/6PK/r7 w - - 0 72,endgame,,11,4,0,0,0,3,-734,g2g3
rnbqkbnr/ppp1pppp/8/8/4pP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,opening,A03,77,29,0,0,1,2,-126,d2d3
rnbqkbnr/pp2pp1p/6p1/8/3Pp3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,B22,75,42,0,0,4,2,-15,c3e4
8/p3K3/4p3/1p1bP3/1P6/q5k1/8/8 w - - 0 69,middlegame,,17,7,0,0,0,2,-3933,e7d6
rnbqkb1r/ppp2ppp/5n2/4p3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 5,opening,A54,76,36,0,0,3,3,10,d1d8
r1bqkb1r/pppp1ppp/2n2n2/8/2PPp3/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,opening,A28,78,34,0,0,4,4,25,f3d2
4Q3/p4ppk/1p1p3p/3q4/P1r5/7P/6P1/5RK1 w - - 0 28,middlegame,,37,36,0,0,2,3,-465,e8d7
rnbqk2r/ppp1bppp/4pn2/6N1/2B5/2N5/PPp1QPPP/R1B2RK1 b kq - 1 8,middlegame,,75,37,0,0,3,3,-217,b8c6
8/pp5p/3pk3/1P1n1p2/P3pP2/1B6/1B2RK2/6rr w - - 2 32,middlegame,,33,21,0,0,4,3,-406,a4a5
r3kb1r/ppn2q1p/2pp3P/4p3/4PnbN/2PP4/PPKQ4/R6R b kq - 1 21,middlegame,,65,51,0,0,3,3,-902,h8g8
4rk2/pp3p1p/2p3pn/2n1p3/7P/2P1NP2/PP6/1KR5 w - - 0 26,middlegame,,31,23,0,0,3,4,-628,e3c4
r1bqkbnr/pppp1ppp/2n5/4p3/8/6P1/PPPPPPBP/RNBQK1NR w KQkq - 2 3,opening,A00,78,26,0,0,2,2,6,c2c4
8/p1N4p/1p4p1/6Pk/7P/P1P2K2/1P6/7R b - - 0 49,middlegame,,17,4,0,0,3,0,9998,h7h6
1k1q1bnr/pp6/3B4/2p2Bpp/8/2NP2P1/PP3P1P/R2QR1K1 b - - 0 19,middlegame,,59,4,0,1,3,1,677,f8d6
1n1r1rk1/pBR2pp1/2p4p/8/3P4/2P2QP1/PP3P1P/4R1K1 b - - 0 23,middlegame,,47,19,0,0,4,2,779,d8d7
8/1p4p1/p1p5/4k1p1/PP6/3K4/8/8 w - - 0 46,endgame,,7,8,0,0,2,3,-572,d3c2
r1b1kbnr/pp3ppp/1qn1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,opening,C02,78,35,0,0,2,4,25,f1e2
8/3R1pkp/b3pnp1/4P3/3K4/8/2r3PP/8 w - - 0 38,middlegame,,23,14,0,0,4,2,-536,e5f6
rn2kb1r/pp1qpppp/3p1n2/2p5/4P3/1P3N2/P1PP1PPP/RNBQK2R w KQkq - 1 6,opening,B52,72,27,0,0,3,4,-8,d2d3
2r5/R4p1k/2Q3p1/7p/2P5/1P2pP1P/P3BbPq/3R1K2 w - - 1 37,middlegame,,49,47,0,0,3,1,-112,a7f7
r2Q1rk1/4npbp/p3p1p1/1b6/4P1P1/1N2BP2/PPP4P/2KR1B1R b - - 0 16,middlegame,,59,33,0,0,3,3,361,a8d8
1r1q4/3bkrQ1/2n1ppB1/1p2P3/2pP4/2P1P3/1P4PP/R1B2RK1 w - - 1 21,middlegame,,61,42,0,0,3,3,9999,g7f7
rnbqk1nr/pp3ppp/3bp3/2pp4/5P2/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 0 5,opening,A02,78,31,0,0,2,4,0,c1b2
rnbqk2r/ppp1ppbp/3p1np1/8/8/1P4P1/PBPPPPBP/RN1QK1NR w KQkq - 2 5,opening,A49,78,33,0,0,4,3,6,d2d4
r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,opening,A53,78,33,0,0,4,3,53,e2e4
r2qk1nr/pppbbppp/2np4/1B2p3/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq - 3 6,opening,C62,78,30,0,0,3,2,66,d2d4
8/pp2bppk/2p3P1/2q5/5P2/4P3/4QK2/8 b - - 0 39,middlegame,,29,5,0,1,2,3,-612,f7g6
rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,opening,A80,78,34,0,0,2,3,44,c2c4
3rk2r/ppq1bp2/4bnnp/4p1p1/4P3/2p2PP1/PNQ4P/1RB1KB1R w Kk - 0 20,middlegame,,71,34,0,0,2,4,-673,f1c4
r2r2k1/p4ppp/1p2p3/2p5/8/4qP2/P1P2KPP/2R4R w - - 0 27,middlegame,,41,3,1,0,1,4,-403,f2e3
8/R6p/1p2kpp1/8/3P4/8/PP3PPP/6K1 b - - 0 31,middlegame,,15,8,0,0,1,2,560,e6d6
8/p4k2/5ppp/2p1p3/4P1P1/2n4P/4K3/N7 w - - 0 31,middlegame,,15,7,1,0,1,4,-473,e2d3
rnbqkbnr/1p3ppp/p2pp3/2p5/P1B1P3/2N5/1PPP1PPP/R1BQK1NR w KQkq - 0 5,opening,B20,78,38,0,0,2,3,17,g1f3
3b2k1/pp2rpNp/6pP/2Pp1P2/1P1NRQP1/2P5/P5K1/8 b - - 0 40,middlegame,,41,19,0,0,3,2,729,d5e4
r4rk1/1pp2ppp/3p1q2/3P4/6bn/p1PB4/PP1R3P/2K1Q2R b - - 1 18,middlegame,,59,49,0,0,3,2,-739,f6h6
3qk2r/3n1p1p/bpr1p1p1/p2pP3/3P3P/2b1BN2/PP6/1KR1Q1R1 w k - 0 20,middlegame,,65,33,0,0,2,4,-27,c1c3
rnbqkbnr/pp2pppp/8/3p4/2B5/8/PPPP1PPP/RNBQK1NR w KQkq - 0 4,opening,B00,76,31,0,0,1,2,-39,c4b5
r1bqk1nr/pp2ppbp/2np2p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq - 2 6,opening,B23,78,39,0,0,4,2,3,d2d3
k7/p7/8/5P1R/6r1/8/4K3/8 w - - 0 57,endgame,,12,17,0,0,0,2,232,e2f3
r1bqk1nr/ppp1bppp/2np4/8/2BpP3/5N1P/PPP2PP1/RNBQK2R w KQkq - 0 6,opening,C50,77,44,0,0,3,2,39,f3d4
2r3k1/p2b1pp1/1p2p2p/3p4/3K4/P1P1Bn2/5PPP/2R5 w - - 0 25,middlegame,,31,2,1,0,4,4,-418,g2f3
rnbqk2r/pppppp1p/6p1/7n/5P2/1P2PN2/PbPP2PP/RN1QKB1R w KQkq - 0 6,opening,A01,75,30,0,0,2,2,-526,b1c3
7r/5pk1/4p1p1/3pP3/6KP/5q2/7R/8 w - - 0 54,middlegame,,25,2,1,0,0,2,-515,g4f3
7k/4q3/3b1rP1/p1p1p3/N1Pp2Q1/BP1P3P/P5P1/6K1 b - - 0 34,middlegame,,43,25,0,0,3,2,-34,h8g7
6k1/1p3p2/p3pPpq/n5N1/8/2P2K2/PP4r1/8 w - - 0 37,middlegame,,29,14,0,0,2,1,-660,f3g2
4R3/6pk/q6p/4r3/P7/5Q1P/5PP1/5RK1 b - - 0 34,middlegame,,39,35,0,0,3,2,363,e5e8
rnbq1rk1/ppppppbp/5np1/8/3P1B2/2P2N2/PP2PPPP/RN1QKB1R w KQ - 1 5,opening,A48,78,36,0,0,2,2,14,e2e3
6R1/5k2/4pp2/1p6/p2P1B2/5N1P/PP5K/8 b - - 0 42,middlegame,,19,6,0,0,2,2,596,f7g8
3rr2k/p5p1/4q2p/4P3/2R5/1PP1Q3/P5PP/4R1K1 w - - 0 27,middlegame,,47,43,0,0,3,3,472,h2h3
r1bqkbnr/ppn1pppp/2p5/3pP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,opening,B12,78,38,0,0,2,2,147,f1d3
2b3k1/1p3qpp/p3p3/2Pp4/5r2/P2R4/4nPQ1/4R1K1 w - - 0 32,middlegame,,48,4,1,0,3,3,-273,e1e2
5qk1/r2b3p/1Q1pp1p1/6B1/3pP3/3n3P/1P4B1/6K1 b - - 1 30,middlegame,,43,44,0,0,3,2,-520,a7a2
1r6/2R2nk1/8/3PQ2p/4P3/5P2/r2q2PP/6RK b - - 0 38,middlegame,,47,5,0,1,3,3,578,g7g8
6k1/p4pp1/2b1pb2/8/1P6/P4PK1/1q5P/8 w - - 0 45,middlegame,,23,8,0,0,1,4,-9996,h2h4
7k/pp5p/2n2p2/4p1b1/4r3/2P2R1B/P7/5N1K w - - 0 38,middlegame,,29,23,0,0,1,2,-327,f1g3
8/3k4/8/1p4r1/8/p7/5K2/2R5 w - - 0 59,endgame,,12,19,0,0,0,2,-506,c1b1
8/8/1p1P4/1b2p3/4kpBp/7P/3K2P1/8 w - - 0 48,endgame,,13,15,0,0,0,3,0,d6d7
r5k1/6pp/1bp2p2/p1N1p3/2b5/B1R5/r4PPP/4R1K1 b - - 1 25,middlegame,,41,37,0,0,2,3,-552,c4d5
rn1qkb1r/p1pppp1p/bp3np1/8/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 2 5,opening,A49,78,34,0,0,2,2,80,e1g1
rn1qk1nr/p1pp1ppp/bp2p3/8/1bPPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 2 5,opening,B00,78,34,0,0,4,1,99,f1d3
r7/5kbQ/2pqR1p1/2Np1p2/5Pp1/1N6/1rP5/2K5 b - - 1 38,middlegame,,49,32,0,0,3,4,-9995,d6f4
5rk1/5pp1/5n1p/p7/R3p3/4r2P/5PP1/5RK1 b - - 1 30,middlegame,,31,25,0,0,2,2,-536,e3d3
8/p6R/1bk2K2/8/2p5/P7/8/8 b - - 0 55,endgame,,11,15,0,0,1,2,-301,c4c3
rnbqkb1r/ppp2ppp/4p3/8/3PP3/2n5/PP3PPP/R1BQKBNR w KQkq - 0 6,opening,D35,73,37,0,0,3,3,28,b2c3
rnbqkbnr/ppp2ppp/3p4/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,opening,B00,78,36,0,0,3,2,94,c2c4
5rk1/1b4P1/p3n2p/3qP3/2p5/2P3QP/P2N1RPK/4R3 b - - 0 33,middlegame,,51,38,0,0,3,4,544,f8f2
3rr1k1/pp3ppp/2b5/2p1P3/6P1/PP2K2P/1n1N4/3R4 w - - 0 31,middlegame,,35,20,0,0,2,4,-1098,d1f1
2rr2k1/p3qp1p/1p1pb1p1/1P6/1Qn1Pp2/8/4NNPP/bR1R2K1 w - - 0 26,middlegame,,64,39,0,0,3,3,-448,b1a1
rnb1kbnr/pp3ppp/2p5/3q4/3p1P2/5N2/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,C31,75,35,0,0,2,4,-12,d1d4
r1bqk2r/pppp1ppp/2n2n2/2b1p3/4P3/P1N2N2/1PPP1PPP/R1BQKB1R w KQkq - 1 5,opening,C46,78,30,0,0,4,4,3,f3e5
6rk/p6p/1p6/3P4/2P4Q/8/P6P/3RR2K w - - 1 33,middlegame,,31,34,0,0,4,0,9998,h4f6
5rk1/2R3pp/3Np3/1p1PP3/8/7p/5r2/6K1 w - - 0 38,middlegame,,25,23,0,0,1,1,-507,c7c1
rnbq1rk1/pp1p3p/1n4p1/2p5/2p5/1P1BPN2/P2N1PP1/Q3K2R w K - 0 14,middlegame,,63,47,0,0,3,2,-124,d3g6
rnbqk1nr/pp1pppbp/6p1/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq - 1 5,opening,A04,76,35,0,0,2,2,60,e2e4
2R5/1k6/1P4pp/P7/3K4/6P1/7P/8 w - - 1 45,endgame,,11,26,0,0,3,0,719,c8c7
rn1qk1nr/pbppppbp/1p4p1/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 2 5,opening,B00,78,39,0,0,3,4,70,g1f3
6k1/6pp/p1p4b/8/1P1p4/6BP/r5PK/1R2r3 w - - 0 42,middlegame,,29,16,0,0,1,3,-414,b1e1
3r1k1R/8/1p3pK1/p4Np1/2P5/P6p/5r2/8 b - - 1 44,middlegame,,25,0,0,1,2,3,10000,
r4rk1/3b1p2/pqpNp1p1/1p2P3/2p2P2/5QP1/Pn4B1/R4R1K w - - 0 24,middlegame,,61,37,0,0,3,2,-153,g3g4
6k1/1p3pp1/p1p4p/4P1q1/1P6/7P/4rKP1/1Q6 w - - 0 37,middlegame,,33,4,1,0,1,3,-571,f2e2
5rk1/p1p3pp/1p3p2/4nP2/4p3/2P5/PPKr3P/3R1B2 w - - 0 29,middlegame,,33,5,1,0,1,3,-401,d1d2
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,opening,C00,76,27,0,0,2,2,14,d2d4
rnbqkbnr/pp2pppp/3p4/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,opening,A43,77,32,0,0,2,1,157,b1c3
rnb1kb1r/ppp1pppp/3q4/3nN3/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 1 6,opening,B04,76,42,0,0,2,2,167,c2c4
4RBk1/p4p1p/6p1/8/8/2Pn4/PP3PPP/3rNK2 b - - 0 29,middlegame,,29,21,0,0,3,1,524,d1e1
2r3k1/6pp/p3p3/3b1p2/3P1P2/2p1Q2P/q5P1/2R3K1 w - - 0 31,middlegame,,41,24,0,0,3,2,-731,e3f2
6nk/pBpq2pp/3b4/4n1B1/8/2NP4/PPP3PP/R4QK1 b - - 2 17,middlegame,,51,34,0,0,2,1,400,e5g4
5k2/N1p2ppp/3r1n2/6B1/6b1/2N5/PPP2PPP/R5K1 b - - 0 18,middlegame,,35,34,0,0,2,3,548,f6d5
6r1/7k/P4pp1/8/7Q/6P1/5P1P/2R3K1 b - - 0 50,middlegame,,25,1,0,1,2,1,9997,h7g7
8/2R5/p3Q3/P7/6P1/2k5/5KP1/8 b - - 0 44,middlegame,,18,5,0,1,3,1,4794,c3b4
8/r3k2p/4bp2/1p1p1p2/5P2/p2RK1P1/6P1/2R5 b - - 1 41,middlegame,,27,22,0,0,4,3,-357,a3a2
8/p4k1p/bp3pp1/1N1p1p2/5P2/1P1nK1P1/6BP/8 w - - 2 31,middlegame,,23,21,0,0,4,2,-55,g2d5
r1b1kb1r/ppp4p/6p1/6pQ/2q1P3/2Bp3P/2nP1PB1/1R3KNR w kq - 0 18,middlegame,,67,36,0,0,4,3,-230,h5g5
r1b1k2r/ppB2pp1/2n1pq2/8/1PPP3p/4P2P/1P2P1P1/R2QKBNR w KQkq - 1 12,middlegame,,67,34,0,0,3,3,592,g1f3
rn1qkbnr/pp2ppp1/2p4p/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,opening,D02,78,33,0,0,2,2,6,c2c4
rnbqkb1r/pp2pppp/5n2/3p4/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq - 2 5,opening,B10,76,29,0,0,2,2,-50,f1b5
5r2/6kp/pp6/3K4/PP3p2/5n1P/5bP1/8 w - - 0 46,middlegame,,19,11,0,0,3,2,-693,g2f3
4Q3/5pk1/P2p4/2p3p1/2P1PrP1/2P3K1/1P6/4R3 b - - 0 40,middlegame,,29,14,0,0,4,3,1160,d6d5
2r3k1/2r4p/3q2p1/1R3p2/3BpP2/1P1BP1PP/P2Q3K/8 b - - 0 38,middlegame,,49,39,0,0,4,4,-375,e4d3
r2qkb1r/pp1npppp/2p2n2/3p4/2PP2b1/4PN2/PP2BPPP/RNBQK2R w KQkq - 3 6,opening,D12,78,31,0,0,3,3,29,d1b3
r4rk1/1b3ppp/p1p1p3/1pP5/P1p1PQN1/8/5KPP/q4B1R w - - 0 19,middlegame,,55,33,0,0,3,3,-431,e4e5
4k3/2r3p1/2PQBp2/1p3P2/p7/8/PP5P/5R1K w - - 1 41,middlegame,,31,39,0,0,3,1,9997,f1d1
8/r3kp2/2p3p1/4R2p/2P1P3/1BK2P2/P1P3PP/8 b - - 0 34,middlegame,,24,5,0,1,3,1,538,e7f8
1k6/1p6/6p1/5p1p/4b3/1q2P2P/3K2P1/8 b - - 1 39,middlegame,,19,34,0,0,1,2,-4007,b3b2
r2qk2r/2p2ppp/1p1b1n2/p2p4/Pn5P/4Pp2/1P1P1PB1/RNBK4 b kq - 1 16,middlegame,,56,40,0,0,1,3,-2229,f3g2
4r3/6k1/p2p1R1p/p2B4/n2P4/2P3P1/P2B3P/5RK1 b - - 0 30,middlegame,,33,21,0,0,3,2,1078,a4b6
2kr1b1r/ppp3pp/5p1n/4p3/2B1b1PN/1K5P/PP1B4/2R3R1 b - - 1 20,middlegame,,49,38,0,0,1,3,-546,d8d2
8/p6k/8/1R1PBppN/8/P5PK/2r4P/8 w - - 0 33,middlegame,,23,26,0,0,2,1,579,h5f6
3Q1b2/5pk1/1p2p1p1/3pP3/1n1P4/q5P1/2nN1P1N/5bK1 w - - 0 35,middlegame,,45,28,0,0,3,3,-424,h2g4
r1bqkb1r/1ppp1ppp/p1n2n2/1B2p3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 5,opening,C65,78,37,0,0,4,4,137,b5a4
r1b2nk1/pp1q1p2/3b3Q/5p2/3P4/2N1PN2/PP3PPP/R4RK1 b - - 0 18,middlegame,,59,28,0,0,4,2,550,f8g6
1k1r3r/p4ppp/1pp2n2/5B2/2Q5/4P3/1q3PPP/1R4K1 w - - 0 23,middlegame,,49,47,0,0,3,4,-496,b1b2
