fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
r1b2rk1/pp1n1pp1/1b5p/3Q4/5pPq/1N3B2/P1P2P2/R3R1K1 w - - 0 19,middlegame,,63,50,0,0,4,2,-657,b3d4
8/7p/6p1/4K3/8/n5P1/5P1P/2k5 b - - 0 51,endgame,,8,12,0,0,3,0,0,c1d2
8/2k5/3p3p/3Pb1p1/6q1/3K4/7P/8 w - - 0 45,middlegame,,17,5,0,0,2,3,-3927,h2h3
rnbqk2r/ppp1p1bp/3p1np1/5p2/2PPP3/2N2P2/PP4PP/R1BQKBNR w KQkq - 1 6,opening,A42,78,37,0,0,4,3,33,e4f5
8/5ppp/8/5k2/2K5/1r3PP1/7P/8 w - - 0 46,endgame,,11,8,0,0,3,2,-48,c4b3
r1b1kb1r/ppp3pp/2n2n2/1Q6/4p3/2B5/PqP2PPP/RN2K2R b KQkq - 1 13,middlegame,,67,39,0,0,3,4,-1174,b2b5
rnbqkb1r/p1pp1ppp/1p2pn2/8/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,E14,78,33,0,0,3,2,30,g1f3
6k1/1p4p1/5r1p/pN1P4/P7/2P1PpPP/1P6/5R1K b - - 0 35,middlegame,,25,19,0,0,1,0,557,f6g6
r7/pp3rk1/4p3/1bN5/3P1p2/2P5/1K1QNq2/8 w - - 2 40,middlegame,,43,28,0,0,3,2,-577,c5e6
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,opening,D02,78,36,0,0,2,3,16,c2c3
r1k3r1/pp3R2/3p1Q2/2p4p/2P2pp1/7q/PP6/R1B3K1 b - - 1 27,middlegame,,51,29,0,0,3,2,-50,h3g3
8/1p2k3/4p1P1/P3K3/Pb1B1P2/3P4/8/8 b - - 0 47,endgame,,13,13,0,0,4,1,539,b4d6
Bq3b1k/3b3r/5p1p/1p2pNpP/4Pn2/P3BN2/1P1Q1PP1/2RR2K1 w - - 1 31,middlegame,,65,51,0,0,4,3,780,a8c6
r1bqkbnr/ppn1pppp/2pp4/8/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B12,78,39,0,0,3,2,100,h2h3
5rk1/2p1q1p1/r3Bp1p/p3Q3/Pp1PP3/8/1P3PPP/R1B2RK1 b - - 0 20,middlegame,,57,6,0,1,4,1,536,a6e6
rnb1kbnr/pp3ppp/1qp1p3/3p4/3PP3/2NB4/PPP2PPP/R1BQK1NR w KQkq - 2 5,opening,C10,78,39,0,0,3,3,132,g1f3
5Q2/6N1/8/3p2P1/1P1P2K1/PkP5/8/8 b - - 0 54,middlegame,,18,7,0,0,2,1,3975,b3a3
rnbqkb1r/pp2pppp/5n2/2p5/5P2/5N2/PPPPB1PP/RNBQK2R w KQkq - 4 6,opening,B21,76,30,0,0,2,3,15,d2d4
8/8/2p2r2/1p1k4/3P3R/P1P1p2P/1P4P1/6K1 w - - 0 39,middlegame,,19,15,0,0,3,4,-121,h4h5
4rrk1/5pb1/1p4qp/pPp1p3/P1Ppn1P1/5Q1P/7B/4RRK1 w - - 0 28,middlegame,,59,31,0,0,3,3,-338,f3e4
8/pb4k1/1p4p1/6r1/3P1q1K/8/P7/3Q4 w - - 2 41,middlegame,,31,2,1,0,2,4,-9999,h4h3
4r1k1/pR3ppp/4bBn1/3pP2Q/3p4/q1rB3P/6P1/5RK1 w - - 0 25,middlegame,,59,51,0,0,2,3,-325,d3g6
2Q2b1r/p2nqk1p/7n/1p2p3/4PNp1/1B6/PPP2PPP/RNB1K2R b KQ - 0 15,middlegame,,66,3,0,1,1,2,1112,f7g7
2r3k1/q2r2p1/b3p2p/p3Q3/Pp6/5R2/1P3bPP/1K5R w - - 0 30,middlegame,,53,46,0,0,3,2,-570,e5e6
2kr1b1r/ppp1pppp/4b3/2N5/1q2P3/5PP1/3PN2P/n1BQK2R b K - 1 14,middlegame,,63,44,0,0,3,3,-820,e6b3
r1bqkb1r/pp1pnppp/2n1p3/2p5/2P1P3/2NP4/PP3PPP/R1BQKBNR w KQkq - 2 5,opening,B20,78,37,0,0,2,3,-4,g1e2
3rr3/5p2/1p6/2p2k1p/P4Np1/1P1P2n1/6B1/2K5 w - - 0 38,middlegame,,27,23,0,0,2,4,-920,f4d5
r1b2rk1/p3pp1p/2p3p1/3p4/3P3q/1P3Qb1/PBPN4/R4R1K w - - 0 18,middlegame,,61,2,1,0,4,4,-9999,h1g2
8/7p/kp4p1/pRp5/P7/KP1r2rP/1b6/3N4 w - - 0 39,middlegame,,29,3,1,0,0,3,-515,d1b2
8/1pp2p1p/5k2/2b5/8/1P4PB/5r1P/2n4K w - - 0 32,middlegame,,21,10,0,0,0,2,-622,b3b4
5bk1/p2Q1p1p/1p1Np1p1/4P3/3P4/4q3/P5K1/8 b - - 1 40,middlegame,,33,33,0,0,2,4,-321,e3g5
2kr3r/1pp2ppp/p2bpn2/4q3/8/2N1B1P1/PPP2Pb1/R3QRK1 w - - 0 16,middlegame,,65,33,0,0,3,4,-444,g1g2
r1b1kbnr/pppp1ppp/5q2/4p3/2B1P3/2P2Q2/PP1P1PPP/RNB1K2R w KQkq - 1 6,opening,C50,72,37,0,0,3,2,52,f3e2
r1b3Q1/3pkp2/p4B2/1pp1p3/2N1P3/3P3B/PPP2P2/R5K1 b - - 0 23,middlegame,,43,1,0,1,3,1,1242,e7f6
